Length,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
89.9,-0.3833,12.4474,0.08905,8.827,9.652,10.477,11.404,12.447,13.628,14.969,16.5,18.031
90,-0.3833,12.4723,0.08906,8.844,9.671,10.498,11.427,12.472,13.655,14.999,16.533,18.068
90.1,-0.3833,12.4971,0.08906,8.862,9.69,10.519,11.449,12.497,13.682,15.029,16.566,18.103
90.2,-0.3833,12.522,0.08907,8.879,9.709,10.54,11.472,12.522,13.71,15.059,16.6,18.14
90.3,-0.3833,12.5468,0.08908,8.896,9.728,10.561,11.495,12.547,13.737,15.09,16.633,18.177
90.4,-0.3833,12.5717,0.08909,8.913,9.747,10.581,11.517,12.572,13.765,15.12,16.667,18.214
90.5,-0.3833,12.5965,0.08909,8.931,9.767,10.602,11.54,12.596,13.792,15.15,16.7,18.25
90.6,-0.3833,12.6213,0.0891,8.948,9.786,10.623,11.563,12.621,13.819,15.18,16.733,18.287
90.7,-0.3833,12.6461,0.08911,8.966,9.805,10.644,11.585,12.646,13.846,15.21,16.767,18.323
90.8,-0.3833,12.6709,0.08912,8.983,9.824,10.664,11.608,12.671,13.874,15.24,16.8,18.36
90.9,-0.3833,12.6957,0.08912,9,9.843,10.685,11.631,12.696,13.901,15.27,16.833,18.396
91,-0.3833,12.7205,0.08913,9.018,9.862,10.706,11.653,12.72,13.928,15.3,16.866,18.433
91.1,-0.3833,12.7453,0.08914,9.035,9.881,10.726,11.676,12.745,13.955,15.33,16.9,18.469
91.2,-0.3833,12.77,0.08915,9.052,9.9,10.747,11.698,12.77,13.983,15.36,16.933,18.506
91.3,-0.3833,12.7948,0.08916,9.069,9.918,10.768,11.721,12.795,14.01,15.39,16.967,18.543
91.4,-0.3833,12.8196,0.08917,9.087,9.937,10.788,11.743,12.82,14.037,15.421,17,18.58
91.5,-0.3833,12.8443,0.08918,9.104,9.956,10.809,11.766,12.844,14.064,15.451,17.033,18.616
91.6,-0.3833,12.8691,0.08919,9.121,9.975,10.83,11.789,12.869,14.092,15.481,17.067,18.653
91.7,-0.3833,12.8939,0.0892,9.138,9.994,10.85,11.811,12.894,14.119,15.511,17.1,18.69
91.8,-0.3833,12.9186,0.08921,9.155,10.013,10.871,11.834,12.919,14.146,15.541,17.134,18.726
91.9,-0.3833,12.9434,0.08922,9.173,10.032,10.892,11.856,12.943,14.173,15.571,17.167,18.763
92,-0.3833,12.9681,0.08923,9.19,10.051,10.912,11.879,12.968,14.201,15.601,17.2,18.8
92.1,-0.3833,12.9929,0.08924,9.207,10.07,10.933,11.901,12.993,14.228,15.631,17.234,18.836
92.2,-0.3833,13.0177,0.08925,9.224,10.089,10.953,11.924,13.018,14.255,15.662,17.267,18.873
92.3,-0.3833,13.0424,0.08926,9.241,10.108,10.974,11.947,13.042,14.282,15.692,17.301,18.91
92.4,-0.3833,13.0672,0.08927,9.259,10.127,10.995,11.969,13.067,14.31,15.722,17.334,18.947
92.5,-0.3833,13.092,0.08928,9.276,10.146,11.015,11.992,13.092,14.337,15.752,17.368,18.983
92.6,-0.3833,13.1167,0.0893,9.293,10.164,11.036,12.014,13.117,14.364,15.782,17.402,19.021
92.7,-0.3833,13.1415,0.08931,9.31,10.183,11.056,12.037,13.142,14.392,15.813,17.435,19.058
92.8,-0.3833,13.1663,0.08932,9.327,10.202,11.077,12.059,13.166,14.419,15.843,17.469,19.094
92.9,-0.3833,13.1911,0.08933,9.344,10.221,11.098,12.082,13.191,14.446,15.873,17.502,19.131
93,-0.3833,13.2158,0.08934,9.361,10.24,11.118,12.104,13.216,14.473,15.903,17.535,19.168
93.1,-0.3833,13.2406,0.08936,9.378,10.258,11.139,12.127,13.241,14.501,15.934,17.569,19.205
93.2,-0.3833,13.2654,0.08937,9.396,10.277,11.159,12.149,13.265,14.528,15.964,17.603,19.242
93.3,-0.3833,13.2902,0.08938,9.413,10.296,11.18,12.172,13.29,14.556,15.994,17.636,19.279
93.4,-0.3833,13.3151,0.0894,9.43,10.315,11.201,12.195,13.315,14.583,16.025,17.671,19.317
93.5,-0.3833,13.3399,0.08941,9.447,10.334,11.221,12.217,13.34,14.61,16.055,17.704,19.354
93.6,-0.3833,13.3647,0.08942,9.464,10.353,11.242,12.24,13.365,14.638,16.085,17.738,19.391
93.7,-0.3833,13.3896,0.08944,9.481,10.372,11.262,12.262,13.39,14.665,16.116,17.772,19.428
93.8,-0.3833,13.4145,0.08945,9.498,10.391,11.283,12.285,13.414,14.693,16.146,17.806,19.465
93.9,-0.3833,13.4394,0.08947,9.515,10.409,11.304,12.308,13.439,14.72,16.177,17.84,19.503
94,-0.3833,13.4643,0.08948,9.532,10.428,11.324,12.33,13.464,14.748,16.207,17.873,19.54
94.1,-0.3833,13.4892,0.08949,9.55,10.447,11.345,12.353,13.489,14.775,16.237,17.907,19.577
94.2,-0.3833,13.5142,0.08951,9.567,10.466,11.366,12.376,13.514,14.803,16.268,17.942,19.615
94.3,-0.3833,13.5391,0.08952,9.584,10.485,11.386,12.398,13.539,14.83,16.298,17.975,19.652
94.4,-0.3833,13.5641,0.08954,9.601,10.504,11.407,12.421,13.564,14.858,16.329,18.01,19.69
94.5,-0.3833,13.5892,0.08955,9.618,10.523,11.428,12.444,13.589,14.886,16.36,18.044,19.727
94.6,-0.3833,13.6142,0.08957,9.635,10.542,11.448,12.467,13.614,14.913,16.39,18.078,19.765
94.7,-0.3833,13.6393,0.08959,9.652,10.561,11.469,12.489,13.639,14.941,16.421,18.112,19.804
94.8,-0.3833,13.6644,0.0896,9.67,10.58,11.49,12.512,13.664,14.969,16.452,18.146,19.841
94.9,-0.3833,13.6895,0.08962,9.687,10.599,11.511,12.535,13.69,14.997,16.483,18.181,19.879
95,-0.3833,13.7146,0.08963,9.704,10.618,11.532,12.558,13.715,15.024,16.513,18.215,19.916
95.1,-0.3833,13.7398,0.08965,9.721,10.637,11.552,12.581,13.74,15.052,16.545,18.25,19.955
95.2,-0.3833,13.765,0.08967,9.738,10.656,11.573,12.603,13.765,15.08,16.576,18.284,19.993
95.3,-0.3833,13.7902,0.08968,9.756,10.675,11.594,12.626,13.79,15.108,16.606,18.318,20.03
95.4,-0.3833,13.8155,0.0897,9.773,10.694,11.615,12.649,13.816,15.136,16.637,18.353,20.069
95.5,-0.3833,13.8408,0.08972,9.79,10.713,11.636,12.672,13.841,15.164,16.669,18.388,20.107
95.6,-0.3833,13.8661,0.08974,9.807,10.732,11.657,12.695,13.866,15.192,16.7,18.423,20.146
95.7,-0.3833,13.8914,0.08975,9.825,10.751,11.678,12.718,13.891,15.22,16.731,18.457,20.184
95.8,-0.3833,13.9168,0.08977,9.842,10.77,11.699,12.741,13.917,15.248,16.762,18.492,20.222
95.9,-0.3833,13.9422,0.08979,9.859,10.789,11.719,12.764,13.942,15.276,16.793,18.527,20.261
96,-0.3833,13.9676,0.08981,9.877,10.809,11.74,12.787,13.968,15.304,16.825,18.562,20.3
96.1,-0.3833,13.9931,0.08983,9.894,10.828,11.761,12.81,13.993,15.333,16.856,18.597,20.338
96.2,-0.3833,14.0186,0.08984,9.912,10.847,11.783,12.833,14.019,15.361,16.887,18.632,20.376
96.3,-0.3833,14.0441,0.08986,9.929,10.866,11.804,12.857,14.044,15.389,16.919,18.667,20.415
96.4,-0.3833,14.0697,0.08988,9.946,10.885,11.825,12.88,14.07,15.417,16.95,18.702,20.454
96.5,-0.3833,14.0953,0.0899,9.964,10.905,11.846,12.903,14.095,15.446,16.982,18.737,20.493
96.6,-0.3833,14.1209,0.08992,9.981,10.924,11.867,12.926,14.121,15.474,17.013,18.773,20.532
96.7,-0.3833,14.1466,0.08994,9.998,10.943,11.888,12.949,14.147,15.502,17.045,18.808,20.571
96.8,-0.3833,14.1724,0.08996,10.016,10.963,11.909,12.973,14.172,15.531,17.077,18.844,20.611
96.9,-0.3833,14.1981,0.08998,10.033,10.982,11.93,12.996,14.198,15.56,17.109,18.879,20.65
97,-0.3833,14.2239,0.09,10.051,11.001,11.952,13.019,14.224,15.588,17.14,18.915,20.689
97.1,-0.3833,14.2498,0.09002,10.068,11.021,11.973,13.043,14.25,15.617,17.172,18.95,20.729
97.2,-0.3833,14.2757,0.09004,10.086,11.04,11.994,13.066,14.276,15.646,17.204,18.986,20.768
97.3,-0.3833,14.3016,0.09006,10.103,11.059,12.015,13.09,14.302,15.674,17.236,19.022,20.808
97.4,-0.3833,14.3276,0.09008,10.121,11.079,12.037,13.113,14.328,15.703,17.268,19.058,20.847
97.5,-0.3833,14.3537,0.0901,10.139,11.099,12.058,13.137,14.354,15.732,17.3,19.094,20.887
97.6,-0.3833,14.3798,0.09012,10.156,11.118,12.08,13.161,14.38,15.761,17.333,19.13,20.927
97.7,-0.3833,14.4059,0.09015,10.174,11.137,12.101,13.184,14.406,15.79,17.365,19.166,20.967
97.8,-0.3833,14.4321,0.09017,10.191,11.157,12.123,13.208,14.432,15.819,17.398,19.203,21.007
97.9,-0.3833,14.4584,0.09019,10.209,11.177,12.144,13.232,14.458,15.848,17.43,19.239,21.048
98,-0.3833,14.4848,0.09021,10.227,11.197,12.166,13.256,14.485,15.878,17.463,19.275,21.088
98.1,-0.3833,14.5112,0.09023,10.245,11.216,12.188,13.279,14.511,15.907,17.495,19.312,21.128
98.2,-0.3833,14.5376,0.09026,10.262,11.236,12.209,13.303,14.538,15.936,17.528,19.349,21.169
98.3,-0.3833,14.5642,0.09028,10.28,11.256,12.231,13.327,14.564,15.966,17.561,19.385,21.21
98.4,-0.3833,14.5908,0.0903,10.298,11.276,12.253,13.351,14.591,15.995,17.594,19.422,21.25
98.5,-0.3833,14.6174,0.09033,10.316,11.295,12.275,13.375,14.617,16.025,17.627,19.459,21.292
98.6,-0.3833,14.6442,0.09035,10.334,11.315,12.297,13.4,14.644,16.055,17.66,19.496,21.333
98.7,-0.3833,14.671,0.09037,10.352,11.336,12.319,13.424,14.671,16.084,17.693,19.533,21.374
98.8,-0.3833,14.6979,0.0904,10.37,11.355,12.341,13.448,14.698,16.114,17.727,19.571,21.416
98.9,-0.3833,14.7248,0.09042,10.388,11.376,12.363,13.472,14.725,16.144,17.76,19.608,21.457
99,-0.3833,14.7519,0.09044,10.407,11.396,12.385,13.497,14.752,16.174,17.793,19.646,21.498
99.1,-0.3833,14.779,0.09047,10.425,11.416,12.407,13.521,14.779,16.204,17.827,19.684,21.54
99.2,-0.3833,14.8062,0.09049,10.443,11.436,12.429,13.546,14.806,16.235,17.861,19.721,21.582
99.3,-0.3833,14.8334,0.09052,10.461,11.456,12.452,13.57,14.833,16.265,17.895,19.76,21.624
99.4,-0.3833,14.8608,0.09054,10.48,11.477,12.474,13.595,14.861,16.295,17.929,19.797,21.666
99.5,-0.3833,14.8882,0.09057,10.498,11.497,12.496,13.62,14.888,16.326,17.963,19.836,21.709
99.6,-0.3833,14.9157,0.09059,10.516,11.518,12.519,13.645,14.916,16.356,17.997,19.874,21.751
99.7,-0.3833,14.9434,0.09062,10.535,11.538,12.542,13.67,14.943,16.387,18.031,19.913,21.794
99.8,-0.3833,14.9711,0.09064,10.554,11.559,12.564,13.695,14.971,16.418,18.066,19.951,21.837
99.9,-0.3833,14.9989,0.09067,10.572,11.579,12.587,13.72,14.999,16.449,18.1,19.99,21.88
