Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
73.7,-0.3833,9.0363,0.09013,6.382,6.986,7.591,8.27,9.036,9.904,10.892,12.022,13.151
73.8,-0.3833,9.0552,0.09012,6.396,7.001,7.607,8.287,9.055,9.925,10.915,12.046,13.178
73.9,-0.3833,9.074,0.09011,6.409,7.016,7.623,8.305,9.074,9.945,10.937,12.071,13.205
74,-0.3833,9.0928,0.09009,6.423,7.031,7.639,8.322,9.093,9.966,10.959,12.095,13.231
74.1,-0.3833,9.1116,0.09008,6.436,7.046,7.655,8.339,9.112,9.986,10.982,12.12,13.258
74.2,-0.3833,9.1303,0.09007,6.45,7.06,7.671,8.357,9.13,10.007,11.004,12.144,13.284
74.3,-0.3833,9.149,0.09005,6.464,7.075,7.687,8.374,9.149,10.027,11.026,12.168,13.31
74.4,-0.3833,9.1676,0.09004,6.477,7.09,7.702,8.391,9.168,10.047,11.048,12.193,13.337
74.5,-0.3833,9.1862,0.09003,6.49,7.104,7.718,8.408,9.186,10.068,11.07,12.217,13.363
74.6,-0.3833,9.2048,0.09001,6.504,7.119,7.734,8.425,9.205,10.088,11.092,12.241,13.389
74.7,-0.3833,9.2233,0.09,6.517,7.134,7.75,8.442,9.223,10.108,11.114,12.265,13.416
74.8,-0.3833,9.2418,0.08999,6.531,7.148,7.766,8.459,9.242,10.128,11.136,12.289,13.442
74.9,-0.3833,9.2602,0.08997,6.544,7.163,7.781,8.476,9.26,10.148,11.158,12.313,13.467
75,-0.3833,9.2786,0.08996,6.557,7.177,7.797,8.493,9.279,10.168,11.18,12.337,13.494
75.1,-0.3833,9.297,0.08995,6.571,7.192,7.812,8.51,9.297,10.188,11.202,12.361,13.52
75.2,-0.3833,9.3154,0.08993,6.584,7.206,7.828,8.527,9.315,10.208,11.224,12.385,13.545
75.3,-0.3833,9.3337,0.08992,6.597,7.221,7.844,8.544,9.334,10.228,11.246,12.408,13.571
75.4,-0.3833,9.352,0.08991,6.61,7.235,7.859,8.561,9.352,10.248,11.267,12.432,13.597
75.5,-0.3833,9.3703,0.08989,6.624,7.249,7.875,8.578,9.37,10.268,11.289,12.456,13.623
75.6,-0.3833,9.3886,0.08988,6.637,7.264,7.89,8.595,9.389,10.288,11.311,12.48,13.649
75.7,-0.3833,9.4069,0.08987,6.65,7.278,7.906,8.611,9.407,10.308,11.333,12.504,13.675
75.8,-0.3833,9.4252,0.08985,6.664,7.293,7.922,8.628,9.425,10.328,11.354,12.527,13.7
75.9,-0.3833,9.4435,0.08984,6.677,7.307,7.937,8.645,9.444,10.348,11.376,12.551,13.726
76,-0.3833,9.4617,0.08983,6.69,7.321,7.953,8.662,9.462,10.367,11.398,12.575,13.752
76.1,-0.3833,9.48,0.08981,6.703,7.336,7.968,8.679,9.48,10.387,11.419,12.598,13.778
76.2,-0.3833,9.4983,0.0898,6.717,7.35,7.984,8.696,9.498,10.407,11.441,12.622,13.804
76.3,-0.3833,9.5166,0.08979,6.73,7.365,7.999,8.712,9.517,10.427,11.463,12.646,13.83
76.4,-0.3833,9.535,0.08977,6.743,7.379,8.015,8.73,9.535,10.447,11.484,12.67,13.855
76.5,-0.3833,9.5533,0.08976,6.756,7.394,8.031,8.746,9.553,10.467,11.506,12.694,13.881
76.6,-0.3833,9.5717,0.08975,6.77,7.408,8.046,8.763,9.572,10.487,11.528,12.718,13.907
76.7,-0.3833,9.5901,0.08973,6.783,7.423,8.062,8.78,9.59,10.507,11.55,12.741,13.933
76.8,-0.3833,9.6086,0.08972,6.797,7.437,8.078,8.797,9.609,10.527,11.572,12.765,13.959
76.9,-0.3833,9.6271,0.08971,6.81,7.452,8.094,8.814,9.627,10.547,11.594,12.79,13.985
77,-0.3833,9.6456,0.08969,6.824,7.466,8.109,8.831,9.646,10.567,11.616,12.813,14.011
77.1,-0.3833,9.6642,0.08968,6.837,7.481,8.125,8.849,9.664,10.588,11.638,12.838,14.037
77.2,-0.3833,9.6828,0.08966,6.851,7.496,8.141,8.866,9.683,10.608,11.66,12.861,14.063
77.3,-0.3833,9.7015,0.08965,6.864,7.511,8.157,8.883,9.702,10.628,11.682,12.886,14.09
77.4,-0.3833,9.7202,0.08964,6.878,7.525,8.173,8.9,9.72,10.649,11.704,12.91,14.116
77.5,-0.3833,9.739,0.08963,6.891,7.54,8.189,8.917,9.739,10.669,11.727,12.935,14.143
77.6,-0.3833,9.7578,0.08961,6.905,7.555,8.205,8.935,9.758,10.689,11.749,12.959,14.169
77.7,-0.3833,9.7767,0.0896,6.919,7.57,8.221,8.952,9.777,10.71,11.771,12.984,14.196
77.8,-0.3833,9.7957,0.08959,6.932,7.585,8.237,8.97,9.796,10.731,11.794,13.008,14.223
77.9,-0.3833,9.8147,0.08957,6.946,7.6,8.253,8.987,9.815,10.751,11.816,13.033,14.249
78,-0.3833,9.8338,0.08956,6.96,7.615,8.27,9.005,9.834,10.772,11.839,13.058,14.276
78.1,-0.3833,9.853,0.08955,6.974,7.63,8.286,9.023,9.853,10.793,11.862,13.083,14.304
78.2,-0.3833,9.8722,0.08953,6.988,7.645,8.302,9.04,9.872,10.814,11.884,13.107,14.33
78.3,-0.3833,9.8915,0.08952,7.002,7.66,8.319,9.058,9.892,10.835,11.907,13.132,14.358
78.4,-0.3833,9.9109,0.08951,7.016,7.676,8.335,9.076,9.911,10.856,11.93,13.158,14.385
78.5,-0.3833,9.9303,0.0895,7.03,7.691,8.352,9.094,9.93,10.877,11.954,13.183,14.413
78.6,-0.3833,9.9499,0.08948,7.044,7.706,8.368,9.112,9.95,10.898,11.977,13.208,14.44
78.7,-0.3833,9.9695,0.08947,7.058,7.722,8.385,9.13,9.97,10.92,12,13.234,14.468
